Langue,Extension,Code,Nom de la carte,Rareté,1st Edition,Unlimited,Limited / Autre,Quantité,N° Artwork,Reprint
Français (France),CRMS,CRMS-FR036,Soldat Abeille,C,NM,,,2,,
Français (France),CRMS,CRMS-FR037,Hydre Vipère,C,NM,,,1,,
Français (France),CRMS,CRMS-FR045,Étoile de Vigilance,C,NM,,,1,,
Français (France),CRMS,CRMS-FR050,Plan Morphtronique,C,NM,,,2,,
Français (France),CRMS,CRMS-FR054,Épée Psychique,C,NM,,,1,,
Français (France),CRMS,CRMS-FR055,Puits de Force Télékinésique,C,,NM,,1,,
Français (France),CRMS,CRMS-FR055,Puits de Force Télékinésique,C,NM,,,1,,
Français (France),CRMS,CRMS-FR057,Canon à Graines,C,NM,,,1,,
Français (France),CRMS,CRMS-FR060,Sanctuaire Verdoyant,C,NM,,,1,,
Français (France),CRMS,CRMS-FR065,Descente de l'Étoile Oubliée,C,NM,,,1,,
Français (France),CRMS,CRMS-FR067,La Moitié ou Rien,C,NM,,,1,,
Français (France),CRMS,CRMS-FR069,Flèche d'Ébène,C,NM,,,1,,
Français (France),CRMS,CRMS-FR070,Prison de Lierre,C,NM,,,2,,
Français (France),CRMS,CRMS-FR071,Explosion Factice,C,NM,,,1,,
Français (France),CRMS,CRMS-FR072,Champ de Force Morphtronique,C,NM,,,1,,
Français (France),CRMS,CRMS-FR073,Confusion Morphtronique,C,NM,,,1,,
Français (France),CRMS,CRMS-FR073,Confusion Morphtronique,C,,NM,,3,,
Français (France),CRMS,CRMS-FR078,Cheval de Troie des Bêtes Gladiateurs,C,NM,,,1,,
Français (France),CRMS,CRMS-FR087,Grenouille Subaquatique,C,,NM,,1,,
Français (France),CRMS,CRMS-FR097,Sorcière Violette,U,NM,,,1,,
Français (France),SDSC,SDSC-FR001,"Endymion, le Maître des Magiciens",U,NM,,,1,,
Français (France),SDSC,SDSC-FR002,Désenchanteresse,C,NM,,,1,,
Français (France),SDSC,SDSC-FR003,"Bouclier Divin, le Chevalier Magique",C,NM,,,1,,
Français (France),SDSC,SDSC-FR004,Hannibal Nécromancien,C,NM,,,3,,
Français (France),SDSC,SDSC-FR005,Prêtre Invocateur,C,NM,,,1,,
Français (France),SDSC,SDSC-FR006,Enchanteur Écarlate,C,NM,,,2,,
Français (France),SDSC,SDSC-FR007,Magicien Sombre Expérimenté,C,NM,,,1,,
Français (France),SDSC,SDSC-FR008,Apprenti Magicien,C,NM,,,2,,
Français (France),SDSC,SDSC-FR009,Vieux Magicien Vindicatif,C,NM,,,1,,
Français (France),SDSC,SDSC-FR010,Marionnette Magique,C,NM,,,1,,
Français (France),SDSC,SDSC-FR011,"Fracas, le Guerrier Magique",C,NM,,,1,,
Français (France),SDSC,SDSC-FR012,Mandragore,C,NM,,,1,,
Français (France),SDSC,SDSC-FR013,Bibliothèque Magique Royale,C,NM,,,1,,
Français (France),SDSC,SDSC-FR014,Le Magicien du Tourment,C,NM,,,1,,
Français (France),SDSC,SDSC-FR015,"Cerbère, Bête Mythique",C,NM,,,1,,
Français (France),SDSC,SDSC-FR016,"Mei-Kou, Maître des Barrières",C,NM,,,1,,
Français (France),SDSC,SDSC-FR017,Voyante à la Boule de Cristal,C,NM,,,1,,
Français (France),SDSC,SDSC-FR018,Canalisateur de Magie,C,NM,,,1,,
Français (France),SDSC,SDSC-FR019,Citadelle Magique d'Endymion,C,NM,,,2,,
Français (France),SDSC,SDSC-FR020,Maîtrise de Puissance Magique,C,NM,,,1,,
Français (France),SDSC,SDSC-FR021,Unité des Magiciens,C,NM,,,1,,
Français (France),SDSC,SDSC-FR022,Corps Brumeux,C,NM,,,1,,
Français (France),SDSC,SDSC-FR023,Nuzzler Maléfique,C,NM,,,3,,
Français (France),SDSC,SDSC-FR024,Tornade Géante,C,NM,,,1,,
Français (France),SDSC,SDSC-FR025,Fissure,C,NM,,,1,,
Français (France),SDSC,SDSC-FR026,Épées de Révélation de la Lumière,C,NM,,,1,,
Français (France),SDSC,SDSC-FR027,Puissance du Mage,C,NM,,,1,,
Français (France),SDSC,SDSC-FR028,Terra Formation,C,NM,,,1,,
Français (France),SDSC,SDSC-FR029,Contrôleur d'Ennemi,C,NM,,,1,,
Français (France),SDSC,SDSC-FR030,Le Livre de la Lune,C,NM,,,2,,
Français (France),SDSC,SDSC-FR031,Explosion Magique,C,NM,,,1,,
Français (France),SDSC,SDSC-FR032,Dimension Magique,C,NM,,,1,,
Français (France),SDSC,SDSC-FR033,Tourbillon,C,NM,,,2,,
Français (France),SDSC,SDSC-FR034,Barrière de Terrain,C,NM,,,1,,
Français (France),SDSC,SDSC-FR035,Cercle du Magicien,C,NM,,,1,,
Français (France),SDSC,SDSC-FR036,Pierre de Puissance Noirdencre,C,NM,,,2,,
Français (France),SDSC,SDSC-FR037,Tour de Babel,C,NM,,,1,,
Français (France),SDSC,SDSC-FR038,Cylindre Magique,C,NM,,,1,,
Français (France),WC09,WC09-FR001,Archdémon Enfernité,SR,,NM,,1,,
Français (France),WC09,WC09-FR002,Nain Enfernité,SR,,NM,,1,,
Français (France),WC09,WC09-FR003,Gardien Enfernité,SR,,NM,,1,,
Français (France),RGBT,RGBT-FR004,Fruitier des Ténèbres,R,,NM,,1,,
Français (France),RGBT,RGBT-FR024,Dragon de Foudre Koa'ki Meiru,UTR,,NM,,1,,
Français (France),RGBT,RGBT-FR041,Aile Noire - Arsenal Aérien,SR,,NM,,1,,
Français (France),RGBT,RGBT-FR068,Corbeaux Delta - Anti Retournement,SR,NM,,,1,,
Français (France),RGBT,RGBT-FR071,Paralysateur de Piège,C,NM,,,1,,
Français (France),RGBT,RGBT-FR080,Miroirs de la Malédiction,C,,NM,,1,,
Français (France),5DS2,5DS2-FR015,Guerrier de Célérité,C,NM,,,1,,
Français (France),5DS2,5DS2-FR017,Bip Bip,C,NM,,,1,,
Français (France),5DS2,5DS2-FR024,Hommage aux Damnés,C,NM,,,1,,
Anglais (Monde),DPYG,DPYG-EN027,Mirror Force,U,,NM,,1,,
Français (France),DPYG,DPYG-FR001,Magicien Sombre,R,NM,,,1,,
Français (France),DPYG,DPYG-FR002,Crâne Invoqué,SR,NM,,,1,,
Français (France),DPYG,DPYG-FR010,Sorcier de la Magie des Ténèbres,SR,,NM,,1,,
Français (France),DPYG,DPYG-FR015,Marshmallon,R,,NM,,1,,
Français (France),DPYG,DPYG-FR018,Épées de Révélation de la Lumière,C,NM,,,1,,
Français (France),DPYG,DPYG-FR026,Cercle Envoûtant,C,,NM,,1,,
Français (France),DPYG,DPYG-FR030,"Fortin, la Forteresse Ambulante",C,NM,,,1,,
Français (France),RP02,RP02-FR000,"Gorz, l'Émissaire des Ténèbres",SCR,,,NM,1,,
Français (France),RP02,RP02-FR019,Le Pêcheur Légendaire,R,,NM,,1,,
Français (France),RP02,RP02-FR028,Spectre Revenant,R,,NM,,1,,
Français (France),RP02,RP02-FR035,Cartes Illimitées,R,,NM,,1,,
Français (France),RP02,RP02-FR039,Puissance du Mage,R,,NM,,1,,
Français (France),RP02,RP02-FR054,Freed le Général Irremplaçable,R,,NM,,1,,
Français (France),RP02,RP02-FR058,Parshath le Chevalier du Ciel,R,,NM,,1,,
Français (France),RP02,RP02-FR066,Anneau de Destruction,SCR,,NM,,1,,
Français (France),RP02,RP02-FR087,Kaiser Hippocampe,R,,NM,,1,,
Français (France),RP02,RP02-FR091,"Gamma, le Guerrier Magnétique",R,,NM,,1,,
Français (France),RP02,RP02-FR092,"Valkyrion, le Guerrier Magnétique",SCR,,NM,,1,,
Français (France),RP02,RP02-FR100,Insecte Assassin à la Faux,SCR,,NM,,1,,
Français (France),ANPR,ANPR-FR001,Kuribon,R,NM,,,1,,
Français (France),ANPR,ANPR-FR002,Pixie Enchantée,C,NM,,,1,,
Français (France),ANPR,ANPR-FR002,Pixie Enchantée,C,,NM,,1,,
Français (France),ANPR,ANPR-FR003,Licorne du Soleil,C,,NM,,1,,
Français (France),ANPR,ANPR-FR003,Licorne du Soleil,C,NM,,,1,,
Français (France),ANPR,ANPR-FR004,Aile Noire - Mistral le Bouclier d'Argent,C,NM,,,1,,
Français (France),ANPR,ANPR-FR006,Aile Noire - Foehn la Chaîne d'Acier,C,NM,,,1,,
Français (France),ANPR,ANPR-FR007,Aimant Morphtronique,C,,NM,,1,,
Français (France),ANPR,ANPR-FR007,Aimant Morphtronique,C,NM,,,1,,
Français (France),ANPR,ANPR-FR008,Bouffon Jongleur,R,NM,,,1,,
Français (France),ANPR,ANPR-FR009,Bouffon Équilibriste,SR,,NM,,1,,
Français (France),ANPR,ANPR-FR012,Bête Enfernité,C,NM,,,1,,
Français (France),ANPR,ANPR-FR012,Bête Enfernité,C,,NM,,1,,
Français (France),ANPR,ANPR-FR014,Bouée de la Mer Sombre,C,NM,,,1,,
Français (France),ANPR,ANPR-FR015,Roquette Turbo,R,NM,,,1,,
Français (France),ANPR,ANPR-FR018,Golem Koa'ki Meiru,C,NM,,,1,,
Français (France),ANPR,ANPR-FR019,Paladin Koa'ki Meiru,SR,NM,,,1,,
Français (France),ANPR,ANPR-FR020,Chasseur Koa'ki Meiru,R,NM,,,1,,
Français (France),ANPR,ANPR-FR022,Lancier Vortex Koa'ki Meiru,C,NM,,,1,,
Français (France),ANPR,ANPR-FR023,Papillon du Chaos,C,NM,,,1,,
Français (France),ANPR,ANPR-FR025,Chasseur des Mers,C,NM,,,1,,
Français (France),ANPR,ANPR-FR026,Dragon Divin Aquasar,C,NM,,,1,,
Français (France),ANPR,ANPR-FR027,Artilleur Poissonborg,C,,NM,,1,,
Français (France),ANPR,ANPR-FR027,Artilleur Poissonborg,C,NM,,,1,,
Français (France),ANPR,ANPR-FR028,Croiseur Requin,C,NM,,,1,,
Français (France),ANPR,ANPR-FR029,Champion Psyborg Blindé,C,NM,,,2,,
Français (France),ANPR,ANPR-FR030,Guerrière Génétique,C,,NM,,1,,
Français (France),ANPR,ANPR-FR032,Docteur Cyborg,C,NM,,,1,,
Français (France),ANPR,ANPR-FR032,Docteur Cyborg,C,,NM,,1,,
Français (France),ANPR,ANPR-FR033,Potan Blanc,C,,NM,,1,,
Français (France),ANPR,ANPR-FR033,Potan Blanc,C,,NM,,1,,
Français (France),ANPR,ANPR-FR034,Foreur de Terrain Miné,SR,,NM,,1,,
Français (France),ANPR,ANPR-FR036,"Cameleon Espion, Sabre XX",C,,NM,,1,,
Français (France),ANPR,ANPR-FR037,Cerbère de la Cloche de Feu,R,,NM,,1,,
Français (France),ANPR,ANPR-FR038,Ancien Primate Écarlate,C,,NM,,1,,
Français (France),ANPR,ANPR-FR038,Ancien Primate Écarlate,C,,NM,,2,,
Français (France),ANPR,ANPR-FR042,Archdémon Zombie Squelette,SR,,NM,,1,,
Français (France),ANPR,ANPR-FR045,Onde de Libération,C,NM,,,2,,
Français (France),ANPR,ANPR-FR045,Onde de Libération,C,,NM,,1,,
Français (France),ANPR,ANPR-FR046,Aile de Platine,C,,NM,,1,,
Français (France),ANPR,ANPR-FR047,Pioche Évoluée,C,,NM,,1,,
Français (France),ANPR,ANPR-FR049,Secours d'Urgence,C,,NM,,1,,
Français (France),ANPR,ANPR-FR050,Absorption Spirituelle,C,,NM,,1,,
Français (France),ANPR,ANPR-FR050,Absorption Spirituelle,C,,NM,,1,,
Français (France),ANPR,ANPR-FR053,Explosion de Noyau,C,,NM,,1,,
Français (France),ANPR,ANPR-FR054,Solidarité,R,,NM,,1,,
Français (France),ANPR,ANPR-FR055,Canon à Pression Hydraulique,C,NM,,,1,,
Français (France),ANPR,ANPR-FR056,Tsunami,C,,NM,,1,,
Français (France),ANPR,ANPR-FR057,Laboratoire de Recherche Cérébrale,C,,NM,,1,,
Français (France),ANPR,ANPR-FR059,Épée d'Étincelles,C,,NM,,1,,
Français (France),ANPR,ANPR-FR062,Recherche de Fossiles,C,NM,,,2,,
Français (France),ANPR,ANPR-FR063,Héritier Talentueux,SR,,NM,,1,,
Français (France),ANPR,ANPR-FR064,Trêve Solide,R,,NM,,1,,
Français (France),ANPR,ANPR-FR065,Halo de Pixie,C,NM,,,2,,
Français (France),ANPR,ANPR-FR066,Fée du Vent,C,NM,,,1,,
Français (France),ANPR,ANPR-FR067,Tradition Impériale,C,,NM,,1,,
Français (France),ANPR,ANPR-FR070,Amulette des Abysses,C,,NM,,1,,
Français (France),ANPR,ANPR-FR071,Transfert de Dommages,C,,NM,,1,,
Français (France),ANPR,ANPR-FR071,Transfert de Dommages,C,,NM,,1,,
Français (France),ANPR,ANPR-FR072,Téléportation de Combat,C,,NM,,1,,
Français (France),ANPR,ANPR-FR074,Explosion du Noyau d'Énergie,C,,NM,,1,,
Français (France),ANPR,ANPR-FR075,Conflit des Éléments.,C,NM,,,1,,
Français (France),ANPR,ANPR-FR075,Conflit des Éléments.,C,,NM,,1,,
Français (France),ANPR,ANPR-FR076,Égide du Seigneur Dragon des Océans,C,,NM,,1,,
Français (France),ANPR,ANPR-FR076,Égide du Seigneur Dragon des Océans,C,,NM,,1,,
Français (France),ANPR,ANPR-FR078,Contre de la Cloche de Feu,C,NM,,,1,,
Français (France),ANPR,ANPR-FR079,Union avec l'Épée,C,,NM,,1,,
Français (France),ANPR,ANPR-FR081,"Chevaier à l'Épée Serpent, Sabre XX",R,,NM,,1,,
Français (France),ANPR,ANPR-FR084,Empereur Psychique,R,,NM,,1,,
Français (France),ANPR,ANPR-FR086,Commando de la Cloche de Feu,UTR,NM,,,1,,
Français (France),ANPR,ANPR-FR087,Pseudo Espace,R,,NM,,1,,
Français (France),ANPR,ANPR-FR089,Résurrection des Immortels,SR,,NM,,1,,
Français (France),ANPR,ANPR-FR090,Alakn le Chevalier Harlequin,R,NM,,,1,,
Français (France),ANPR,ANPR-FR095,Brachios la Bête Lézard,R,,NM,,1,,
Français (France),ANPR,ANPR-FRSE1,Échange Solaire,SR,,,NM,1,,
Français (France),CT06,CT06-FR004,Esprit de la Terre Immortel Wiraqocha Rasca,SCR,,,NM,2,,
Français (France),SDWS,SDWS-FR001,Gearfried Phénix,U,NM,,,1,,
Français (France),SDWS,SDWS-FR002,Chevalier d'Incantation,SR,NM,,,1,,
Français (France),SDWS,SDWS-FR003,Illusioniste du Vent Ardent,SR,NM,,,1,,
Français (France),SDWS,SDWS-FR004,Soldat Gémeau,C,NM,,,1,,
Français (France),SDWS,SDWS-FR005,Cogneur Magique,C,NM,,,1,,
Français (France),SDWS,SDWS-FR006,Freed le Général Irremplaçable,C,NM,,,1,,
Français (France),SDWS,SDWS-FR007,Capitaine en Maraude,C,NM,,,1,,
Français (France),SDWS,SDWS-FR007,Capitaine en Maraude,C,NM,,,1,,
Français (France),SDWS,SDWS-FR008,La Troupe Exilée,C,NM,,,1,,
Français (France),SDWS,SDWS-FR009,Dame Guerrière D.D.,C,NM,,,1,,
Français (France),SDWS,SDWS-FR010,Soldat de Carte,C,NM,,,1,,
Français (France),SDWS,SDWS-FR011,Invocateur Gémeau,C,NM,,,1,,
Français (France),SDWS,SDWS-FR012,Papillon aux Ailes Ardentes,C,NM,,,1,,
Français (France),SDWS,SDWS-FR013,Guerrier D.D.,C,NM,,,1,,
Français (France),SDWS,SDWS-FR014,Samouraï du Futur,C,NM,,,1,,
Français (France),SDWS,SDWS-FR015,Rahz le Guerrier,C,NM,,,1,,
Français (France),SDWS,SDWS-FR016,Valkyrie des Ténèbres,C,NM,,,1,,
Français (France),SDWS,SDWS-FR017,Supervision,C,NM,,,1,,
Français (France),SDWS,SDWS-FR017,Supervision,C,NM,,,1,,
Français (France),SDWS,SDWS-FR018,Contrôle Mental,C,NM,,,1,,
Français (France),SDWS,SDWS-FR019,Fardeau du Puissant,C,NM,,,1,,
Français (France),SDWS,SDWS-FR020,Jugement Silencieux,C,NM,,,1,,
Français (France),SDWS,SDWS-FR021,Arsenal Secret,C,NM,,,1,,
Français (France),SDWS,SDWS-FR022,Cage d'Acier de Cauchemar,C,NM,,,1,,
Français (France),SDWS,SDWS-FR022,Cage d'Acier de Cauchemar,C,NM,,,1,,
Français (France),SDWS,SDWS-FR023,Typhon d'Espace Mystique,C,NM,,,1,,
Français (France),SDWS,SDWS-FR024,Ekibyo Drakomord,C,NM,,,1,,
Français (France),SDWS,SDWS-FR025,Renfort de l'Armée,C,NM,,,1,,
Français (France),SDWS,SDWS-FR026,Big Bang,C,NM,,,1,,
Français (France),SDWS,SDWS-FR027,"Lame Phénix, Épée Divine",C,NM,,,1,,
Français (France),SDWS,SDWS-FR028,Double Invocation,C,NM,,,1,,
Français (France),SDWS,SDWS-FR029,Symboles du Devoir,C,NM,,,1,,
Français (France),SDWS,SDWS-FR030,Balançoire des Souvenirs,C,NM,,,1,,
Français (France),SDWS,SDWS-FR031,Déchainement de Puissance,C,NM,,,1,,
Français (France),SDWS,SDWS-FR032,Pot-de-Vin du Temple Maudit,C,NM,,,1,,
Français (France),SDWS,SDWS-FR033,Kunai avec Chaîne,C,NM,,,1,,
Français (France),SDWS,SDWS-FR034,Armure de Sakuretsu,C,NM,,,1,,
Français (France),SDWS,SDWS-FR035,Résurrection de l'Ame,C,NM,,,1,,
Français (France),SDWS,SDWS-FR036,Justi-Fracture,C,NM,,,1,,
Français (France),SDWS,SDWS-FR037,Droit d'Aînesse,C,NM,,,1,,
Français (France),SDWS,SDWS-FR038,Trappe Gémeau,C,NM,,,1,,
Français (France),HA01,HA01-FR003,Sorcier de la Barrière de Glace,SCR,,NM,,1,,
Français (France),HA01,HA01-FR004,Oiseau du Tonnerre de la Vallée de Brume,SCR,,,NM,1,,
Français (France),HA01,HA01-FR005,Shaman de la Vallée de Brume,SCR,,,NM,3,,
Français (France),HA01,HA01-FR006,Guerrier de la Vallée de Brume,SCR,,,NM,1,,
Français (France),HA01,HA01-FR006,Guerrier de la Vallée de Brume,SCR,,,NM,1,,
Français (France),HA01,HA01-FR007,Dragon de la Cloche de Feu,SR,,,NM,2,,
Français (France),HA01,HA01-FR008,Magicien de la Cloche de Feu,SR,,,NM,1,,
Français (France),HA01,HA01-FR009,Sentinelle de la Cloche de Feu,SR,,,NM,1,,
Français (France),HA01,HA01-FR009,Sentinelle de la Cloche de Feu,SR,,,NM,1,,
Français (France),HA01,HA01-FR012,"Wolf, Sabre X",SR,,,NM,2,,
Français (France),HA01,HA01-FR014,"Claíomh Solais, Allié de la Justice",SR,,,NM,1,,
Français (France),HA01,HA01-FR015,"Garadholg, Allié de la Justice",SR,,,NM,2,,
Français (France),HA01,HA01-FR016,"Rudra, Allié de la Justice",SR,,,NM,2,,
Français (France),HA01,HA01-FR017,Ver - Apocalypse,SR,,,NM,1,,
Français (France),HA01,HA01-FR018,Ver - Balthus,SR,,,NM,1,,
Français (France),HA01,HA01-FR019,Ver - Caltaros,SR,,,NM,2,,
Français (France),HA01,HA01-FR020,Ver - Dimikles,SR,,,NM,1,,
Français (France),HA01,HA01-FR025,"Urbellum, Sabre X",SCR,,,NM,1,,
Français (France),HA01,HA01-FR028,Transfomine,SR,,,NM,3,,
Français (France),HA01,HA01-FR029,Éclat du Berserker,SR,,,NM,3,,
Français (France),SOVR,SOVR-FR002,Xiaolong Poussière d'Étoile,R,,NM,,1,,
Français (France),SOVR,SOVR-FR003,Guerrier Maximum,SR,,NM,,1,,
Français (France),SOVR,SOVR-FR004,Hors-la-Loi Synchronique,C,NM,,,1,,
Français (France),SOVR,SOVR-FR005,Dévoreur de Niveau,C,,NM,,1,,
Français (France),SOVR,SOVR-FR005,Dévoreur de Niveau,C,NM,,,1,,
Français (France),SOVR,SOVR-FR006,Gardien Zéro,R,,NM,,1,,
Français (France),SOVR,SOVR-FR007,Alpha Leonis,C,,NM,,1,,
Français (France),SOVR,SOVR-FR007,Alpha Leonis,C,NM,,,1,,
Français (France),SOVR,SOVR-FR008,Nécromancien Enfernité,C,,NM,,1,,
Français (France),SOVR,SOVR-FR009,"Zéphyria, Demoiselle de Fortune",R,,NM,,1,,
Français (France),SOVR,SOVR-FR011,"Ténèbra, Demoiselle de Fortune",R,,NM,,1,,
Français (France),SOVR,SOVR-FR012,"Gaïa, Demoiselle de Fortune",R,,NM,,1,,
Français (France),SOVR,SOVR-FR013,Magicienne Solitaire,C,,NM,,1,,
Français (France),SOVR,SOVR-FR014,Catoblepas et la Sorcière du Destin,R,,NM,,1,,
Français (France),SOVR,SOVR-FR015,Araignée des Ténèbres,C,,NM,,1,,
Français (France),SOVR,SOVR-FR016,Araignée des Cavernes,C,,NM,,1,,
Français (France),SOVR,SOVR-FR016,Araignée des Cavernes,C,,NM,,1,,
Français (France),SOVR,SOVR-FR017,Araignée du Sacrifice,C,,NM,,1,,
Français (France),SOVR,SOVR-FR018,Araignée Sniper,C,,NM,,2,,
Français (France),SOVR,SOVR-FR018,Araignée Sniper,C,,NM,,1,,
Français (France),SOVR,SOVR-FR019,Araignée Matriarche,R,,NM,,1,,
Français (France),SOVR,SOVR-FR020,Gorgone Reptilia,C,,NM,,1,,
Français (France),SOVR,SOVR-FR020,Gorgone Reptilia,C,NM,,,2,,
Français (France),SOVR,SOVR-FR021,Méduse Reptilia,C,NM,,,1,,
Français (France),SOVR,SOVR-FR021,Méduse Reptilia,C,,NM,,1,,
Français (France),SOVR,SOVR-FR022,Scylla Reptilia,C,,NM,,1,,
Français (France),SOVR,SOVR-FR023,Vipère Reptilia,C,,NM,,1,,
Français (France),SOVR,SOVR-FR023,Vipère Reptilia,C,NM,,,1,,
Français (France),SOVR,SOVR-FR027,Panthère de Mer Koa'ki Meiru,C,,NM,,1,,
Français (France),SOVR,SOVR-FR029,Magicien Syntonisateur,C,,NM,,1,,
Français (France),SOVR,SOVR-FR031,Archer des Sylves,C,,NM,,1,,
Français (France),SOVR,SOVR-FR031,Archer des Sylves,C,NM,,,1,,
Français (France),SOVR,SOVR-FR033,Champion Énergétique,C,,NM,,1,,
Français (France),SOVR,SOVR-FR033,Champion Énergétique,C,NM,,,1,,
Français (France),SOVR,SOVR-FR034,Grenouille Démon,C,,NM,,1,,
Français (France),SOVR,SOVR-FR035,Vaisseau Spatial Lord British,R,NM,,,1,,
Français (France),SOVR,SOVR-FR035,Vaisseau Spatial Lord British,R,,NM,,1,,
Français (France),SOVR,SOVR-FR036,Camélégant,C,,NM,,1,,
Français (France),SOVR,SOVR-FR037,"Démon Jinn, Juge des Rituels",R,,NM,,1,,
Français (France),SOVR,SOVR-FR038,"Démon Jinn, Maître des Rituels",R,NM,,,1,,
Français (France),SOVR,SOVR-FR041,Aile Noire - Vent d'Argent le Suprême,U,,NM,,1,,
Français (France),SOVR,SOVR-FR045,Toile d'Araignée,C,,NM,,1,,
Français (France),SOVR,SOVR-FR047,Colisée Sauvage,C,,NM,,1,,
Français (France),SOVR,SOVR-FR048,Attaque des Phéromones,C,,NM,,1,,
Français (France),SOVR,SOVR-FR048,Attaque des Phéromones,C,NM,,,1,,
Français (France),SOVR,SOVR-FR049,Mue d'Évasion,C,NM,,,1,,
Français (France),SOVR,SOVR-FR049,Mue d'Évasion,C,,NM,,1,,
Français (France),SOVR,SOVR-FR050,Créatures Reptilia,C,,NM,,1,,
Français (France),SOVR,SOVR-FR050,Créatures Reptilia,C,NM,,,1,,
Français (France),SOVR,SOVR-FR051,Futur de Fortune,SR,,NM,,1,,
Français (France),SOVR,SOVR-FR052,Passage Temporel,C,,NM,,1,,
Français (France),SOVR,SOVR-FR053,Armure de Noyau d'Énergie,C,,NM,,1,,
Français (France),SOVR,SOVR-FR053,Armure de Noyau d'Énergie,C,,NM,,1,,
Français (France),SOVR,SOVR-FR053,Armure de Noyau d'Énergie,C,NM,,,1,,
Français (France),SOVR,SOVR-FR054,Force Herculéenne,C,,NM,,1,,
Français (France),SOVR,SOVR-FR054,Force Herculéenne,C,NM,,,2,,
Français (France),SOVR,SOVR-FR055,Tempête d'Électricité Gémeau,C,,NM,,1,,
Français (France),SOVR,SOVR-FR056,Rituel de la Rédemption,C,,NM,,1,,
Français (France),SOVR,SOVR-FR056,Rituel de la Rédemption,C,NM,,,2,,
Français (France),SOVR,SOVR-FR059,Forêt Spirituelle,C,,NM,,1,,
Français (France),SOVR,SOVR-FR059,Forêt Spirituelle,C,NM,,,1,,
Français (France),SOVR,SOVR-FR061,Insecte à la Rescousse,C,,NM,,1,,
Français (France),SOVR,SOVR-FR061,Insecte à la Rescousse,C,NM,,,1,,
Français (France),SOVR,SOVR-FR063,Erreur d'Invocation,C,,NM,,1,,
Français (France),SOVR,SOVR-FR063,Erreur d'Invocation,C,NM,,,1,,
Français (France),SOVR,SOVR-FR064,Barrière Synchro,C,NM,,,1,,
Français (France),SOVR,SOVR-FR064,Barrière Synchro,C,,NM,,1,,
Français (France),SOVR,SOVR-FR065,Prophétie du Souverain du Futur,C,NM,,,1,,
Français (France),SOVR,SOVR-FR065,Prophétie du Souverain du Futur,C,,NM,,1,,
Français (France),SOVR,SOVR-FR066,Changement de Destinée,C,,NM,,1,,
Français (France),SOVR,SOVR-FR067,Fortune Familiale,R,,NM,,1,,
Français (France),SOVR,SOVR-FR068,Larves d'Araignées,C,,NM,,1,,
Français (France),SOVR,SOVR-FR068,Larves d'Araignées,C,NM,,,1,,
Français (France),SOVR,SOVR-FR069,Loup Déguisé en Agneau,C,,NM,,1,,
Français (France),SOVR,SOVR-FR069,Loup Déguisé en Agneau,C,NM,,,1,,
Français (France),SOVR,SOVR-FR070,Fissure des Esprits de la Terre,C,,NM,,1,,
Français (France),SOVR,SOVR-FR070,Fissure des Esprits de la Terre,C,NM,,,2,,
Français (France),SOVR,SOVR-FR071,Hurlement de l'Esprit de la Terre Immortel,C,,NM,,1,,
Français (France),SOVR,SOVR-FR071,Hurlement de l'Esprit de la Terre Immortel,C,NM,,,1,,
Français (France),SOVR,SOVR-FR072,Impulsion Extrême,C,NM,,,1,,
Français (France),SOVR,SOVR-FR072,Impulsion Extrême,C,,NM,,1,,
Français (France),SOVR,SOVR-FR073,Force de l'Enfernité,C,NM,,,1,,
Français (France),SOVR,SOVR-FR073,Force de l'Enfernité,C,,NM,,1,,
Français (France),SOVR,SOVR-FR074,Noyau Absorbeur d'Habileté,R,,NM,,1,,
Français (France),SOVR,SOVR-FR075,Compteur Gémeau,C,NM,,,1,,
Français (France),SOVR,SOVR-FR075,Compteur Gémeau,C,,NM,,1,,
Français (France),SOVR,SOVR-FR076,Générateur Gémeau,C,NM,,,1,,
Français (France),SOVR,SOVR-FR076,Générateur Gémeau,C,,NM,,1,,
Français (France),SOVR,SOVR-FR077,Briseur de Rituel,C,,NM,,1,,
Français (France),SOVR,SOVR-FR077,Briseur de Rituel,C,NM,,,1,,
Français (France),SOVR,SOVR-FR087,Résurrection de l'Esprit de la Terre Immortel,R,,NM,,1,,
Français (France),SOVR,SOVR-FR088,Poison Reptilia,R,,NM,,1,,
Français (France),SOVR,SOVR-FR091,Château Lumineux,R,,NM,,1,,
Français (France),SOVR,SOVR-FRSE2,Renfort de Lumière,SR,,,NM,1,,
Français (France),DP09,DP09-FR001,Dragon Poussière d'Étoile/Mode Assaut,SR,NM,,,1,,
Français (France),DP09,DP09-FR002,Route Synchronique,R,NM,,,1,,
Français (France),DP09,DP09-FR003,Guerrier Tourelle,R,NM,,,1,,
Français (France),DP09,DP09-FR004,Dragon des Ruines,C,NM,,,1,,
Français (France),DP09,DP09-FR005,Robot Hyper Synchronique,C,NM,,,1,,
Français (France),DP09,DP09-FR006,Guerrier de Pierre,R,NM,,,1,,
Français (France),DP09,DP09-FR007,Manipulateur de Niveau,C,NM,,,1,,
Français (France),DP09,DP09-FR008,Dragon Majestueux,C,NM,,,1,,
Français (France),DP09,DP09-FR009,Guerrier Maximum,R,NM,,,1,,
Français (France),DP09,DP09-FR010,Hors-la-Loi Synchronique,C,NM,,,1,,
Français (France),DP09,DP09-FR011,Dévoreur de Niveau,C,NM,,,1,,
