SET,#,COST,NAME,TYPE,INK,RARITY,STR,WILL,LORE,MOVE COST,CLASSIFICATIONS,ABILITY,FRANCHISE,FLAVOR TEXT,ILLUSTRATORS,QUANTITY
ITI,152,3,Pluto - Mickey's Clever Friend,Character,Sapphire,Common,3,4,1,,Dreamborn · Ally,,Mickey Mouse & Friends,Pluto's job was to keep Gustav's attention so Minnie could get to the cave.,Rianti Hidayat,0
ITI,162,2,Repair,Action,Sapphire,Common,,,,,,Remove up to 3 damage from one of your locations or characters.,Atlantis,"""I'm thinkin' about opening a shop here. What do you think?""",Denny Minonne,0
ITI,153,5,Rufus - Orphanage Cat,Character,Sapphire,Common,4,5,1,,Dreamborn · Ally,"TOO OLD TO BE CHASING MICE When this character is banished, you may put this card into your inkwell facedown and exerted.",The Rescuers,"""Faith is a bluebird you see from afar.""",Hadjie Joos,0
ITI,154,5,Scrooge McDuck - Richest Duck in the World,Character,Sapphire,Super Rare,3,5,1,,Storyborn · Hero,"I'M GOING HOME! During your turn, this character gains Evasive.   I DIDN'T GET RICH BY BEING STUPID During your turn, whenever this character banishes another character in a challenge, you may play an item for free.",DuckTales,He can make money anywhere.,Grace Tran,0
ITI,155,2,Scrooge McDuck - Uncle Moneybags,Character,Sapphire,Uncommon,1,3,1,,Dreamborn · Hero,"TREASURE FINDER Whenever this character quests, you pay 1 ⬡ less for the next item you play this turn.",DuckTales,A strange new world is the perfect place to make a strange new fortune!,Stefano Zanchi,0
ITI,166,2,Scrooge's Top Hat,Item,Sapphire,Uncommon,,,,,,BUSINESS EXPERTISE Exert - You pay 1 ⬡ less for the next item you play this turn.,DuckTales,Just the thing to top off another brilliant deal.,Gabriel Angelo,0
ITI,157,5,Tinker Bell - Very Clever Fairy,Character,Sapphire,Super Rare,3,4,2,,Dreamborn · Ally · Fairy,"I CAN USE THAT Whenever one of your items is banished, you may put that card into your inkwell facedown and exerted.",Peter Pan,She lives in a world of possibilities.,Grace Tran,0
ITI,167,4,Vault Door,Item,Sapphire,Common,,,,,,SEALED AWAY Your locations and characters at locations gain Resist +1.,DuckTales,Only Scrooge knows about this vault. And he's going to keep it that way.,Nicolas Ky,0
ITI,158,3,Wendy Darling - Authority on Peter Pan,Character,Sapphire,Super Rare,3,1,2,,Storyborn · Hero,"Ward, Support",Peter Pan,,Julie Vu,0
ITI,195,4,And Then Along Came Zeus,Action · Song,Steel,Rare,,,,,,Deal 5 damage to chosen character or location.,Hercules,He hurled his thunderbolt–he zapped   Locked those suckers in a vault–They're trapped   And on his own stopped chaos in its tracks,Isabella Ceravolo,0
ITI,196,2,Ba-Boom!,Action,Steel,Common,,,,,,Deal 2 damage to chosen character or location.,Treasure Planet,Bigger than your average boom!,Heidi Neunhoffer,0
ITI,199,3,Captain Hook's Rapier,Item,Steel,Uncommon,,,,,,"GET THOSE SCURVY BRATS! During your turn, whenever one of your characters banishes another character in a challenge, you may pay 1 ⬡ to draw a card.   LET'S HAVE AT IT! Your characters named Captain Hook gain Challenger +1.",Peter Pan,,Jeremy Adams,0
ITI,171,4,Chief Tui - Proud of Motunui,Character,Steel,Common,3,4,2,,Storyborn · Mentor · King,,Moana,"""Look at our home! There is no better place to be.""",Eri Welli,0
ITI,200,3,Gizmosuit,Item,Steel,Common,,,,,,CYBERNETIC ARMOR Banish this item - Chosen character gains Resist +2 until the start of your next turn.,DuckTales,"It stands in the Hall of Lorcana, waiting for someone to speak the secret words.",Dustin Panzino,0
ITI,173,3,Gustav the Giant - Terror of the Kingdom,Character,Steel,Rare,6,6,1,,Dreamborn · Villain,"ALL TIED UP This character enters play exerted and can't ready at the start of your turn.   BREAK FREE During your turn, whenever one of your other characters banishes another character in a challenge, you may ready this character.",Mickey Mouse & Friends,,Giuseppe di Maio,0
ITI,174,6,Hades - Hotheaded Ruler,Character,Steel,Rare,5,5,2,,Storyborn · Villain · Deity,CALL THE TITANS Exert - Ready your Titan characters.,Hercules,"""Brothers! Titans! Look at you in your squalid prison. Who put you down there?""",Brian Kesinger,0
ITI,175,3,Helga Sinclair - Right-Hand Woman,Character,Steel,Common,2,4,1,,Storyborn · Villain,Challenger +2,Atlantis,"""That was an order, not a suggestion. Let's go!""",Kasia Brzezinska,0
ITI,177,2,Kida - Royal Warrior,Character,Steel,Common,2,3,1,,Storyborn · Hero · Princess,Bodyguard,Atlantis,"She's seen strange things before, but nothing like this.",Carlos Ruiz,0
ITI,178,6,Little John - Resourceful Outlaw,Character,Steel,Super Rare,4,5,2,,Floodborn · Hero,"Shift 4 ⬡ OKAY, BIG SHOT While this character is exerted, your characters with Bodyguard gain Resist +1 and get +1 LORE.",Robin Hood,,Filipe Laurentino,0
ITI,179,3,Little John - Robin's Pal,Character,Steel,Uncommon,2,4,1,,Storyborn · Ally,"Bodyguard DISGUISED During your turn, this character gains Evasive.",Robin Hood,,Jacob McAlister,0
ITI,180,4,Lythos - Rock Titan,Character,Steel,Uncommon,4,1,1,,Storyborn · Titan,Resist +2 STONE SKIN Exert - Chosen character gains Resist +2 this turn.,Hercules,"""Crush Zeus!""",Alice Pisoni,0
ITI,201,3,Map of Treasure Planet,Item,Steel,Rare,,,,,,KEY TO THE PORTAL Exert - You pay 1 ⬡ less for the next location you play this turn.   SHOW THE WAY You pay 1 ⬡ less to move your characters to a location.,Treasure Planet,"""Gentleman, this must be kept under lock and key."" - Captain Amelia",Gabriel Angelo,0
ITI,181,3,Mickey Mouse - Stalwart Explorer,Character,Steel,Common,3,3,1,,Dreamborn · Hero,LET'S TAKE A LOOK This character gets +1 STR for each location you have in play.,Mickey Mouse & Friends,"Mickey knew just where to start searching for the Sorcerer's Hat, but he didn't expect it to be guarded.",Louis Jones,0
ITI,183,1,Minnie Mouse - Funky Spelunker,Character,Steel,Common,0,3,1,,Dreamborn · Hero,"JOURNEY While this character is at a location, she gets +2 STR.",Mickey Mouse & Friends,She'll never cave under pressure.,Grace Tran,0
ITI,184,2,Mr. Smee - Bumbling Mate,Character,Steel,Uncommon,3,3,2,,Storyborn · Ally · Pirate,"OH DEAR, DEAR, DEAR At the end of your turn, if this character is exerted and you don't have a Captain character in play, deal 1 damage to this character.",Peter Pan,"""Catch those little–OUCH!""",Ally Zermeno,0
ITI,185,7,Mufasa - Champion of the Pride Lands,Character,Steel,Rare,3,10,3,,Storyborn · Mentor · King,,The Lion King,Even his name makes enemies quiver in fear.,Evana Kisa / Livio Cacciatore,0
ITI,186,3,Nala - Fierce Friend,Character,Steel,Uncommon,2,4,2,,Storyborn · Ally,,The Lion King,"""Pinned ya again.""",Brian Weisz,0
ITI,203,2,Nottingham - Prince John's Castle,Location,Steel,Common,,6,1,1,,,Robin Hood,"Sir Hiss: ""I say, sire, your mother's castle will be the perfect place to set up our scheme!""   Prince John: ""Mommy!""",Bryn Jones,0
ITI,197,1,Olympus Would Be That Way,Action,Steel,Common,,,,,,Your characters get +3 STR while challenging a location this turn.,Hercules,"""Now that I set you free, what is the first thing you are going to do?"" - Hades",Michaela Martin,0
ITI,187,5,Pyros - Lava Titan,Character,Steel,Rare,5,4,1,,Storyborn · Titan,"ERUPTION During your turn, whenever this character banishes another character in a challenge, you may ready chosen character.",Hercules,"""Melt Zeus!""",Eva Widermann,0
ITI,188,2,Razoul - Palace Guard,Character,Steel,Common,1,3,1,,Storyborn · Ally · Captain,"LOOKY HERE while this character has no damage, he gets +2 STR.",Aladdin,"""There's no princess here to save you this time, street rat.""",Kuya Jaypi,0
ITI,198,3,Rise of the Titans,Action,Steel,Uncommon,,,,,,Banish chosen location or item.,Hercules,"""Oh, we're in trouble, big trouble!"" - Hermes",Nicola Saviori,0
ITI,189,1,Robin Hood - Beloved Outlaw,Character,Steel,Common,2,2,1,,Storyborn · Hero,,Robin Hood,"""You call this an ambush? Tsk, tsk. It's barely a bushwhack.""",Valerio Buonfantino,0
ITI,191,4,Sheriff of Nottingham - Corrupt Official,Character,Steel,Super Rare,2,4,1,,Dreamborn · Villain,"TAXES SHOULD HURT Whenever you discard a card, you may deal 1 damage to chosen opposing character.",Robin Hood,"The thirteenth Rule of Villainy: Take everything you can, but do it with a smile.",Alice Pisoni,0
ITI,192,7,Simba - Fighting Prince,Character,Steel,Super Rare,5,7,2,,Dreamborn · Hero · Prince,"STEP DOWN OR FIGHT When you play this character and whenever he banishes another character in a challenge during your turn, you may choose one:   - Draw 2 cards, then choose and discard 2 cards.   - Deal 2 damage to chosen character.",The Lion King,He's ready to restore the Pride Lands to their former glory.,Noukah,0
ITI,193,5,Simba - Rightful King,Character,Steel,Uncommon,4,6,1,,Storyborn · Hero · King,"TRIUMPHANT STANCE During your turn, whenever this character banishes another character in a challenge, chosen opposing character can't challenge during their next turn.",The Lion King,"With dangers multiplying all around, the pride needs its guardian.",Mariana Moreno Ayala,0
ITI,194,5,Thaddeus E. Klang - Metallic Leader,Character,Steel,Uncommon,3,5,2,,Storyborn · Villain,"MY TEETH ARE SHARPER Whenever this character quests while at a location, you may deal 1 damage to chosen character.",TaleSpin,"""Soon the bells will ring in the sound of your doom!""",Juan Diego Leon,0
ITI,204,1,The Bayou - Mysterious Swamp,Location,Steel,Uncommon,,3,1,1,,"SHOW ME THE WAY Whenever a character quests while here, you may draw a card, then choose and discard a card.",The Princess and the Frog,"A place to find what you need, not just what you want.",Ryan Moeck,0
"ITI
FAB","026
027",3,Heal What Has Been Hurt,Action · Song,Amber,Common,,,,,,Remove up to 3 damage from chosen character. Draw a card.,Tangled,Let your power shine   Make the clock reverse . . .,Monica Catalano,0
"ITI
FAB","012
017",5,Nani - Protective Sister,Character,Amber,Uncommon,3,6,2,,Storyborn · Hero,Bodyguard,Lilo & Stitch,"""Let me handle this, Lilo.""",Shannon Hallstein,0
"ITI
FAB","017
014",7,Pluto - Determined Defender,Character,Amber,Rare,3,8,2,,Floodborn · Ally,"Shift 5 ⬡, Bodyguard GUARD DOG At the start of your turn, remove up to 3 damage from this character.",Mickey Mouse & Friends,,Dave Alvarez / Alice Pisoni,0
"ITI
FAB","018
021",1,Pluto - Friendly Pooch,Character,Amber,"Uncommon
Common",0,2,1,,Storyborn · Ally,GOOD DOG Exert - You pay 1 ⬡ less for the next character you play this turn.,Mickey Mouse & Friends,He just can't wait for new friends to arrive!,Jiahui Eva Gao,0
"ITI
FAB","019
002",3,Pongo - Determined Father,Character,Amber,Super Rare,3,2,1,,Storyborn · Hero,"TWILIGHT BARK Once per turn, you may pay 2 ⬡ to reveal the top card of your deck. If it's a character card, put it into your hand. Otherwise, put it on the bottom of your deck.",101 Dalmatians,"""We'll find our way. I know we will!""",Grace Tran,0
"ITI
FAB","020
023",3,Queen of Hearts - Wonderland Empress,Character,Amber,Uncommon,3,3,1,,Dreamborn · Villain · Queen,"ALL WAYS HERE ARE MY WAYS Whenever this character quests, your other Villain characters get +1 LORE this turn.",Alice in Wonderland,"The more of the Inklands she claims, the more she wants.",Brianna Garcia,0
"ITI
FAB","022
012",4,Tinker Bell - Generous Fairy,Character,Amber,Uncommon,1,4,1,,Storyborn · Ally · Fairy,"MAKE A NEW FRIEND When you play this character, look at the top 4 cards of your deck. You may reveal a character card and put it into your hand. Put the rest on the bottom of your deck in any order.",Peter Pan,Plenty of berries–and friendship–to go around.,Aisha Durmagambetova,0
"ITI
FAB","038
054",4,Genie - Supportive Friend,Character,Amethyst,"Super Rare
Rare",3,5,1,,Storyborn · Ally,"THREE WISHES Whenever this character quests, you may shuffle this card into your deck to draw 3 cards.",Aladdin,"""Right here, direct from the lamp, right here for your very much wish fulfillment.""",Koni,0
"ITI
FAB","041
059",3,Jafar - Lamp Thief,Character,Amethyst,Uncommon,2,2,2,,Storyborn · Villain · Sorcerer,"I AM YOUR MASTER NOW When you play this character, look at the top 2 cards of your deck. Put one on the top of your deck and the other on the bottom.",Aladdin,"""I will rule as far as the eye can see.""",Veronica Di Lorenzo / Livio Cacciatore,0
"ITI
FAB","062
062",3,Last-Ditch Effort,Action,Amethyst,Uncommon,,,,,,Exert chosen opposing character. Then chosen character of yours gains Challenger +2 this turn.,Moana,"""I got your back.""",Ian MacDonald,0
"ITI
FAB","052
057",6,Mama Odie - Voice of Wisdom,Character,Amethyst,Uncommon,3,6,2,,Dreamborn · Ally · Sorcerer,"LISTEN TO YOUR MAMA NOW Whenever this character quests, you may move up to 2 damage counters from chosen character to chosen opposing character.",The Princess and the Frog,"""That's the way to give it what it needs, Juju!""",Cristian Romero,0
"ITI
FAB","054
036",1,Rafiki - Mystical Fighter,Character,Amethyst,Rare,0,2,1,,Dreamborn · Mentor · Sorcerer,"Challenger +3 ANCIENT SKILLS Whenever he challenges a Hyena character, this character takes no damage from the challenge.",The Lion King,Mind the stick!,Otto Paredes,0
"ITI
FAB","059
037",3,Ursula - Sea Witch,Character,Amethyst,Rare,3,3,1,,Dreamborn · Villain · Sorcerer,"YOU'RE TOO LATE Whenever this character quests, chosen opposing character can't ready at the start of their next turn.",The Little Mermaid,The secret contract has already been written.,John Loren,0
"ITI
FAB","070
071",1,Cursed Merfolk - Ursula's Handiwork,Character,Emerald,Rare,0,1,2,,Storyborn,"POOR SOULS Whenever this character is challenged, each opponent chooses and discards a card.",The Little Mermaid,"""Now it's happened once or twice, someone couldn't pay the price . . ."" - Ursula",Massimiliano Narciso / Marieke Ferrari,0
"ITI
FAB","084
070",6,Robin Hood - Daydreamer,Character,Emerald,Rare,4,5,4,,Dreamborn · Hero,,Robin Hood,"""Some days, it's nice to let the river do the running.""",John Loren,0
"ITI
FAB","085
087",4,Shenzi - Hyena Pack Leader,Character,Emerald,Super Rare,0,6,1,,Storyborn · Ally · Hyena,"I'LL HANDLE THIS While this character is at a location, she gets +3 STR.   WHAT'S THE HURRY? While this character is at a location, whenever she challenges another character, you may draw a card.",The Lion King,"""Why not stick around for dinner?""",Jochem van Gool,0
"ITI
FAB","090
090",2,Ursula - Deceiver,Character,Emerald,Uncommon,1,3,1,,Storyborn · Villain · Sorcerer,"YOU'LL NEVER EVEN MISS IT When you play this character, chosen opponent reveals their hand and discards a song card of your choice.",The Little Mermaid,,Lisanne Koeteeuw,0
"ITI
FAB","092
091",3,Wildcat - Mechanic,Character,Emerald,Uncommon,2,3,1,,Storyborn · Ally,Evasive DISASSEMBLE Exert - Banish chosen item.,TaleSpin,"""I can take anything apart in under five minutes!""",Valentina Graziuso,0
"ITI
FAB","134
136",3,Agrabah - Marketplace,Location,Ruby,Common,,5,2,1,,,Aladdin,"""Welcome to Agrabah, city of mystery, of enchantment, and the finest merchandise this side of the river."" - Merchant",Kaitlin Cuthbertson,0
"ITI
FAB","103
107",3,Ariel - Adventurous Collector,Character,Ruby,Super Rare,2,3,1,,Dreamborn · Hero · Princess,"Evasive INSPIRING VOICE Whenever you play a song, chosen character of yours gains Evasive until the start of your next turn.",The Little Mermaid,Shipwrecks are great places to find lore–and hide from sharks!,Javi Salas,0
"ITI
FAB","114
106",7,Maui - Whale,Character,Ruby,Rare,8,8,1,,Storyborn · Hero · Deity,THIS MISSION IS CURSED This character can't ready at the start of your turn.   I GOT YOUR BACK 2 ⬡ - Ready this character. He can't quest for the rest of this turn.,Moana,Always ready to make a splash.,Sandara Tang,0
"ITI
FAB","117
116",4,Moana - Undeterred Voyager,Character,Ruby,Common,3,4,1,,Storyborn · Hero · Princess,Evasive,Moana,No fire or storm will keep her from her goal.,Mila Useche,0
"ITI
FAB","123
105",2,Simba - Scrappy Cub,Character,Ruby,Rare,1,1,3,,Storyborn · Hero · Prince,,The Lion King,He'll join the hunt for lore after he's had a quick snack.,Agnes Christianson,0
"ITI
FAB","163
167",2,Aurelian Gyrosensor,Item,Sapphire,"Rare
Uncommon",,,,,,"SEEKING KNOWLEDGE Whenever one of your characters quests, you may look at the top card of your deck. Put it on either the top of the bottom of your deck.",Lorcana,"""It can point you toward lost lore, but if you're not careful, it'll lead you off a cliff."" - Venturo, an Illumineer",Mario Oscar Gabriele,0
"ITI
FAB","139
139",3,Dewey - Showy Nephew,Character,Sapphire,Uncommon,2,3,2,,Dreamborn · Ally,Support,DuckTales,"""I got it! I knew I could do it! Dewey for the win!""",Federico M. Cugliari,0
"ITI
FAB","164
168",3,Heart of Te Fiti,Item,Sapphire,Rare,,,,,,"CREATE LIFE Exert, 2 ⬡ - Put the top card of your deck into your inkwell facedown and exerted.",Moana,It takes a pure heart to calm the raging storm within.,Kamil Murzyn,0
"ITI
FAB","145
138",2,Huey - Savvy Nephew,Character,Sapphire,Rare,2,2,1,,Storyborn · Ally,"Support THREE NEPHEWS Whenever this character quests, if you have characters named Dewey and Louie in play, you may draw 3 cards.",DuckTales,"""This looks like part of a larger crystal!""",Federico M. Cugliari,0
"ITI
FAB","149
140",4,Louie - Chill Nephew,Character,Sapphire,Common,3,4,2,,Dreamborn · Ally,Support,DuckTales,"""Found the last one!""",Federico M. Cugliari,0
"ITI
FAB","150
158",5,Maid Marian - Delightful Dreamer,Character,Sapphire,Common,4,4,2,,Storyborn · Princess,"HIGHBORN LADY When you play this character, chosen character gets -2 STR this turn.",Robin Hood,She makes every space more beautiful.,Jenna Gray,0
"ITI
FAB","151
152",3,Mama Odie - Mystical Maven,Character,Sapphire,Rare,1,3,1,,Storyborn · Mentor,"THIS GOING TO BE GOOD Whenever you play a song, you may put the top card of your deck into your inkwell facedown and exerted.",The Princess and the Frog,"""You dig a little deeper, you'll find everything you need.""",Rogie Custodio / Erin Shin,0
"ITI
FAB","170
170",2,Motunui - Island Paradise,Location,Sapphire,Uncommon,,5,1,1,,"REINCARNATION Whenever a character is banished while here, you may put that card into your inkwell facedown and exerted.",Moana,,Etienne Savoie,0
"ITI
FAB","156
149",4,The Queen - Mirror Seeker,Character,Sapphire,Uncommon,2,5,1,,Storyborn · Villain · Queen · Sorcerer,"CALCULATING AND VAIN Whenever this character quests, you may look at the top 3 cards of your deck and put them back in any order.",Snow White and the Seven Dwarfs,"She has only one question, and she'd better like the answer.",Jennifer Gheduzzi / Livio Cacciatore,0
"ITI
FAB","172
183",5,Eeyore - Overstuffed Donkey,Character,Steel,Common,4,5,1,,Storyborn · Ally,Resist +1,Winnie the Pooh,"""Not much of a roadblock, but I suppose I'll do.""",Mariana Moreno Ayala,0
"ITI
FAB","176
192",3,John Silver - Greedy Treasure Seeker,Character,Steel,Rare,3,3,1,,Dreamborn · Villain · Alien · Pirate · Captain,"CHART YOUR OWN COURSE For each location you have in play, this character gains Resist +1 and gets +1 LORE.",Treasure Planet,"""I was never much good at games. Always hated to lose.""
The eighth Rule of Villainy: Don't underestimate the power of a bad reputation.",Gaku Kumatori,0
"ITI
FAB","202
204",2,Maui's Place of Exile - Hidden Island,Location,Steel,"Rare
Uncommon",,5,0,1,,ISOLATED Characters gain Resist +1 while here.,Moana,Nothing but boulders and sand–easy to miss.,Jeremy Adams,0
"ITI
FAB","182
172",4,Mickey Mouse - Trumpeter,Character,Steel,"Legendary
Super Rare",0,1,1,,Dreamborn · Hero,"SOUND THE CALL Exert, 2 ⬡ - Play a character for free.",Mickey Mouse & Friends,,Gonzalo Kenny,0
"ITI
FAB","190
177",5,Robin Hood - Champion of Sherwood,Character,Steel,Legendary,3,6,2,,Floodborn · Hero,"Shift 3 ⬡ SKILLED COMBATANT During your turn, whenever this character banishes another character in a challenge, gain 2 lore.   THE GOOD OF OTHERS When this character is banished in a challenge, you may draw a card.",Robin Hood,,Rudy Hill,0
"ITI
ROJ","004
038",2,Dalmatian Puppy - Tail Wagger,Character,Amber,Common,2,3,1,,Storyborn · Puppy,WHERE DID THEY ALL COME FROM? You may have up to 99 copies of Dalmatian Puppy - Tail Wagger in your deck.,101 Dalmatians,"First they steal your heart. Then they steal your chair.
""Oh boy! A new friend to play with!""","Kapik
Gwawi",0
ROJ,034,6,Alma Madrigal - Accepting Grandmother,Character,Dual Ink,Uncommon,5,5,2,,Storyborn · Mentor · Madrigal,"THE MIRACLE IS YOU Once during your turn, whenever one of more of your characters sings a song, you may ready those characters.",Encanto,"""I'm sorry I held on too tight.""",Simone Buonfantino,0
ROJ,005,4,Antonio Madrigal - Friend to All,Character,Dual Ink,Rare,2,2,2,,Storyborn · Ally · Madrigal,"OF COURSE THEY CAN COME Once during your turn, whenever one of your characters sings a song, you may search your deck for a character card with cost 3 or less and reveal that card to all players. Put that card into your hand and shuffle your deck.",Encanto,,Valerio Buonfantino,0
ROJ,031,2,Antonio's Jaguar - Faithful Companion,Character,Amber,Common,1,4,1,,Storyborn · Ally,"YOU WANT TO GO WHERE? When you play this character, if you have a character named Antonio Madrigal in play, gain 1 lore.",Encanto,"""He knows the way through. Just try to keep up!"" - Antonio",Denny Minonne,0
ROJ,029,3,Bolt - Down but Not Out,Character,Dual Ink,Rare,0,4,4,,Storyborn · Hero,NONE OF YOUR POWERS ARE WORKING This character enters play exerted.,Bolt,"""The only power you need is the power of AWESOMENESS!"" - Rhino",Joy Ang / Jaime Puga,0
ROJ,020,7,Bruno Madrigal - Singing Seer,Character,Dual Ink,Super Rare,3,7,2,,Floodborn · Ally · Madrigal,"Shift 5 ⬡ BRIGHT FUTURE Whenever this card sings a song, you may draw a card for each character you have in play.",Encanto,,Milica Celikovic,0
ROJ,032,6,Calhoun - Hard-Nosed Leader,Character,Amber,Common,4,5,2,,Storyborn · Hero,"Bodyguard LOOT DROP When this character is banished, gain 1 lore.",Wreck-It Ralph,,Edu Francisco / Amanda Duarte,0
ROJ,039,2,Candy Drift,Action,Dual Ink,Uncommon,,,,,,"Draw a card. Chosen character of yours gets +5 STR this turn. At the end of your turn, banish them.",Wreck-It Ralph,"""This will overheat your engine like a sack of cinnamon candy, so you better win quick!"" - Vanellope von Schweetz",Stefano Spagnuolo,0
ROJ,008,1,Charlotte La Bouff - Mardi Gras Princess,Character,Amber,Common,1,3,1,,Storyborn · Ally · Princess,,The Princess and the Frog,"""Seems like only yesterday we were both little girls dreaming our fairy tale dreams, and tonight they're finally coming true.""",Emily Abeydeera,0
ROJ,018,6,Chief Bogo - Commanding Officer,Character,Amber,Legendary,5,5,1,,Storyborn,"SENDING BACKUP During an opponent's turn, whenever one of your characters with Bodyguard is banished, you may reveal the top card of your deck. If it's a character card with cost 5 or less, you may play that character free. Otherwise, put it on the top of your deck.",Zootopia,,Nicola Saviori,0
ROJ,035,3,Clawhauser - Front Desk Officer,Character,Amber,Rare,1,4,2,,Storyborn · Ally · Detective,"Bodyguard, Singer 4",Zootopia,,Denny Minonne,0
ROJ,016,5,Darling Dear - Beloved Wife,Character,Amber,Common,4,4,1,,Storyborn · Ally,"HOW SWEET When you play this character, chosen character gets +2 LORE this turn.",Lady and the Tramp,"""I don't imagine anything could ever take her place in our hearts.""",Jake Murphy,0
ROJ,002,4,Dewey - Lovable Showoff,Character,Amber,Common,4,4,1,,Storyborn · Ally,,DuckTales,"""Snakes? Firing lasers? In a secret underground lair? No problem!""",Federico Maria Cugliari,0
ROJ,037,8,Donald Duck - Coin Collector,Character,Amber,Super Rare,4,8,2,,Storyborn · Hero,"HERE, PIGGY, PIGGY For each item named The Nephews' Piggy Bank you have in play, you pay 2 ⬡ less to play this character.   MONEY EVERYWHERE When you play this character, your other characters gain ""Exert - Draw a card"" this turn.",DuckTales,,Rianti Hidayat,0
ROJ,013,1,Gene - Niceland Resident,Character,Amber,Common,1,2,1,,Storyborn,"I GUESS YOU EARNED THIS Whenever this character quests, you may remove up to 2 damage from chosen character.",Wreck-It Ralph,"""Getting a medal feels pretty great. Making Gene squirm feels even better."" - Wreck-It Ralph",Rianti Hidayat,0
ROJ,004,4,Goofy - Groundbreaking Chef,Character,Amber,Legendary,3,4,2,,Storyborn · Hero,"PLENTY TO GO AROUND At the end of your turn, you may remove up to 1 damage from each of your other characters. Ready each character you removed damage from this way.",Mickey Mouse & Friends,"""You're just in time for Surprise à la Goof!""",Carlos Luzzi,0
ROJ,003,2,Huey - Reliable Leader,Character,Amber,Uncommon,2,3,1,,Storyborn · Ally,"I KNOW THE WAY Whenever this character quests, you pay 1 ⬡ less for the next character you play this turn.",DuckTales,"""Forget the magical snakes. There's the way out of the trap!""",Federico Maria Cugliari,0
ROJ,042,9,It Means No Worries,Action · Song,Amber,Rare,,,,,,Sing Together 9 Return up to 3 character cards from your discard to your hand. You pay 2 ⬡ less for the next character you play this turn.,The Lion King,,Gianluca Barone,0
ROJ,012,2,Jim Dear - Beloved Husband,Character,Amber,Common,0,4,1,,Storyborn · Ally,Bodyguard,Lady and the Tramp,Family is family no matter what.,Kendall Hale,0
ROJ,036,3,Joey - Blue Pigeon,Character,Amber,Common,3,3,1,,Storyborn,"I'VE GOT JUST THE THING Whenever this character quests, you may remove up to 1 damage from each of your characters with Bodyguard.",Bolt,"""If you need fixin', ol' Joey's on the job.""",French Carlomagno,0
ROJ,021,4,Kaa - Hypnotizing Python,Character,Dual Ink,Uncommon,3,3,2,,Storyborn · Villain,"LOOK ME IN THE EYE Whenever this character quests, chosen opposing character gets -2 STR and gains Reckless until the start of your next turn.",The Jungle Book,"""You have just made a s-serious mis-sstake, my friend.""",Francesco D'ippolito / Malia Ewart,0
ROJ,023,3,King Candy - Sugar Rush Nightmare,Character,Dual Ink,Uncommon,3,2,1,,Storyborn · Villain · King · Racer,"A NEW ROSTER When this character is banished, you may return another Racer character card from your discard to your hand.",Wreck-It Ralph,,Joseph Buenning,0
ROJ,033,1,Lady - Decisive Dog,Character,Dual Ink,Rare,0,3,1,,Storyborn · Hero,"PACK OF HER OWN Whenever you play a character, this character gets +1 STR this turn.   TAKE THE LEAD While this character has 3 STR or more, she gets +2 LORE.",Lady and the Tramp,,Therese Vildefall,0
ROJ,011,3,Lady - Family Dog,Character,Amber,Rare,2,2,2,,Storyborn · Hero,"SOMEONE TO CARE FOR When you play this character, you may play a character with cost 2 or less for free.",Lady and the Tramp,She's happiest in the company of those she loves.,Erika Wiseman,0
ROJ,001,3,Louie - One Cool Duck,Character,Amber,Uncommon,2,3,2,,Storyborn · Ally,"SPRING THE TRAP While this character is being challenged, the challenging character gets -1 STR.",DuckTales,"""The snakes are cool, I guess. Pretty standard trap, though.""",Federico Maria Cugliari,0
ROJ,007,2,Ludwig Von Drake - All-Around Expert,Character,Dual Ink,Rare,1,1,1,,Storyborn · Ally,"SUPERIOR MIND When you play this character, chosen opponent reveals their hand and discards a non-character card of your choice.   LASTING LEGACY When this character is banished, you may put this card into your inkwell facedown and exerted.",DuckTales,,Pietro B. Zemelo,0
ROJ,006,4,Minnie Mouse - Daring Defender,Character,Dual Ink,Rare,0,8,1,,Dreamborn · Hero,Bodyguard TRUE VALOR This character gets +1 STR for each 1 damage on her.,Mickey Mouse & Friends,,Aubrey Archer,0
ROJ,010,1,Mirabel Madrigal - Curious Child,Character,Amber,Common,0,2,1,,Storyborn · Hero · Madrigal,"YOU ARE A WONDER When you play this character, you may reveal a song card in your hand to gain 1 lore.",Encanto,"""Whatever gift awaits will be just as special as you."" - Alma Madrigal",Arianna Rea,0
ROJ,041,4,Only So Much Room,Action,Dual Ink,Uncommon,,,,,,Return chosen character with 2 STR or less to their player's hand. Return a character card from your discard to your hand.,Lady and the Tramp,"""Home wreckers! That's what they are!"" - Tramp",Therese Vildefall,0
ROJ,025,1,Patch - Playful Pup,Character,Dual Ink,Uncommon,0,2,1,,Storyborn · Puppy,"Ward PUPPY BARKING While you have another Puppy character in play, this character gets +1 LORE.",101 Dalmatians,Sand sure was more fun than it looked!,Oggy Christiansson,0
ROJ,027,6,Perdita - Determined Mother,Character,Dual Ink,Super Rare,4,6,2,,Floodborn · Hero,"Shift 4 ⬡ QUICK, EVERYONE HIDE When you play this character, you may put all Puppy character cards from your discard into your inkwell facedown and exerted.",101 Dalmatians,,Brian Weisz,0
